interview,dim,question,type,excerpt,paraphrase,ts,keywords,maturity,alignment,confidence
ENT-017-ENT-018,1.1.5,PRI1,declaracao,"[participante A]: «por Maringá estar numa região com agricultura muito forte, essa questão da estiagem de um lado e do excesso de chuvas [de outro] — são dois extremos que a gente tá vivendo — podem ter impacto na questão econômica da região (…) mas também a própria cidade pode ser afetada com enchentes e ondas de calor»","O duplo regime hídrico identificado pela consultoria em ENT-010-ENT-011 é lido, do lado financeiro, como risco econômico regional. Confirma que a leitura de risco de Maringá é consistente entre fontes técnicas independentes.",00:09:40,estiagem|excesso de chuva|agricultura|onda de calor|risco economico,em_implementacao,convergente,alta
ENT-017-ENT-018,1.1.5,PRI1,declaracao,"[participante B]: «a economia maringaense, embora diversificada, tem muitos elos com a cadeia do agro (…) você tem um pool de empresas de tecnologia na região [que] prestam serviços para a área do agro. Se o agro sofre o impacto de uma mudança climática, você tem um encadeamento para outros setores»","ACHADO ECONÔMICO. O risco climático atinge Maringá indiretamente pela cadeia de fornecimento ao agronegócio, e não apenas pelo evento urbano. É a única leitura do corpus sobre transmissão setorial do risco — e amplia consideravelmente a exposição econômica da cidade em relação ao que os instrumentos municipais consideram.",00:11:19,cadeia produtiva|agro|tecnologia|risco indireto|economia,inexistente,isolada,alta
ENT-017-ENT-018,2.4.2,PRI6,declaracao,"[participante A]: «algumas PPPs a gente tem feito de abastecimento de água e tratamento de esgoto, segurança hídrica e drenagem urbana (…) resíduos sólidos urbanos e geração de energia a partir do biogás (…) iluminação pública com troca de lâmpadas de LED (…) mobilidade com veículos elétricos, VLTs e ônibus elétricos (…) gestão de parques públicos, corredores verdes (…) como aqui [na capital], em que os parques funcionam como esponjas»","CARDÁPIO CONCRETO DE PPP CLIMÁTICA, DE QUEM AS ESTRUTURA. Sete arranjos já praticados por banco público regional, todos aplicáveis às prioridades de Maringá — drenagem, resíduos, arborização e parques. Converge com o programa de resíduos de ENT-008 e com a bacia de detenção de ENT-015, e mostra que o instrumento de financiamento para essas frentes existe e está disponível regionalmente.",00:12:54,PPP|concessao|drenagem|residuos|biogas|iluminacao|parque|mobilidade,efetivo,isolada,alta
ENT-017-ENT-018,2.1.5,PRI3,oportunidade,"[participante A]: «gestão de parques públicos, corredores verdes e outras soluções (…) em que os parques funcionam como esponjas: tendo muita chuva, os parques alagam e deixam de alagar as outras áreas da cidade»","Parque como infraestrutura de drenagem, financiável por concessão. Responde diretamente ao alagamento de microdrenagem diagnosticado em ENT-010-ENT-011 e converge com os poços de infiltração de ENT-009 e os jardins de chuva de ENT-006 e ENT-012 — todas soluções baseadas na natureza, e esta com modelo de financiamento associado.",00:12:54,parque|cidade esponja|drenagem|solucao baseada na natureza|concessao|adaptacao,em_implementacao,convergente,alta
ENT-017-ENT-018,2.4.2,PRI6,oportunidade,[participante B]: «existem algumas iniciativas no âmbito de PPPs (…) [a capital] está organizando uma PPP agora para fazer esse aterramento de uma parte da rede (…) desde que não seja algo do tipo tirar fio do céu e botar embaixo da terra: tem que ser programado (…) que você tenha também estruturas ao longo das vias que permitam a melhor absorção de água»,"ACHADO DECISIVO. Existe modelo de PPP em estruturação para enterramento de rede elétrica em município do mesmo estado, com a recomendação técnica de combiná-lo a infraestrutura de drenagem na mesma obra. Responde diretamente à disputa registrada em ENT-005 e à proposta de estudo faseado de ENT-007 — o instrumento financeiro para a medida mais cara do corpus existe e tem precedente regional.",00:15:41,aterramento|rede eletrica|PPP|drenagem|obra combinada|precedente,em_elaboracao,isolada,alta
ENT-017-ENT-018,3.2.4,PRI3,declaracao,"[participante B]: «a gente não se limitar apenas às áreas mais urbanas, povoadas e de alta renda (…) é muito evidente que as áreas de menor poder aquisitivo têm temperaturas até mais elevadas, porque não têm os mesmos equipamentos urbanos que existem em áreas mais desenvolvidas»","Recomendação de equidade territorial vinda do agente financeiro. Converge com ENT-007, ENT-009 e ENT-014 sobre o gradiente centro–periferia da infraestrutura verde — e o fato de vir de quem analisa crédito indica que o recorte distributivo tem peso na avaliação do projeto, não apenas valor normativo.",00:14:24,equidade|temperatura|periferia|equipamento urbano|ilha de calor,inexistente,convergente,alta
ENT-017-ENT-018,3.2.4,PRI4,declaracao,"[participante B]: «um comparativo da temperatura local [em um bairro de alta renda] com a temperatura [na comunidade] bem ao lado: dava uma diferença de 10 ºC (…) se você tá numa temperatura média de 20º, quem tá [do outro lado] tá com 30»",Ordem de grandeza da desigualdade térmica intraurbana em referência nacional: até 10 °C entre territórios contíguos. Converge com os 5 °C medidos em Maringá por estudo local (ENT-009) e dá escala ao que está em jogo — a diferença de conforto térmico entre bairros pode ser maior que a variação climática projetada para décadas.,00:26:45,ilha de calor|desigualdade|temperatura|dados|referencia,em_implementacao,convergente,alta
ENT-017-ENT-018,2.5.3,PRI4,declaracao,"[participante B]: «do ponto de vista de análise de crédito, isso não é um problema. A análise do banco (…) se baseia em dados; no caso de município são dados públicos e muito diretos. Então, do ponto de vista de crédito, isso não é um problema»","ACHADO FAVORÁVEL. A análise de capacidade de crédito de um município é feita com dados fiscais públicos e não constitui obstáculo. Remove uma barreira presumida: se Maringá quiser contrair operação de crédito para drenagem — como propõem ENT-008 e ENT-015 —, a habilitação creditícia não é o gargalo.",00:18:29,analise de credito|dados fiscais|capacidade de pagamento|rating|municipio,efetivo,isolada,alta
ENT-017-ENT-018,3.2.5,PRI4,lacuna,"[participante B]: «quando a gente fala de projeto de impactos, esse sim pode ser uma dor nossa (…) eu ainda tenho dificuldade de entender algumas metodologias e algumas parametrizações de impactos. Qual o impacto de determinado projeto em certa localidade? Ela retira carbono, quanto é? Qual é essa pegada? A gente até tem uma metodologia de cálculo, mas é um dado difícil de se obter»","ACHADO CENTRAL, DO LADO DO FINANCIADOR. O que trava não é o crédito, é a mensuração do impacto climático do projeto. Converge exatamente com a calculadora de carbono em desenvolvimento em ENT-008 e com o questionamento dos órgãos de controle relatado em ENT-015 — a mesma lacuna de valoração aparece nas três pontas: quem executa, quem fiscaliza e quem financia. Dimensão «Muito alta».",00:18:29,mensuracao de impacto|pegada de carbono|metodologia|valoracao|financiamento,inexistente,convergente,alta
ENT-017-ENT-018,1.1.7,PRI4,lacuna,"[participante B]: «[com] uma usina solar (…) já tem uma métrica bem estabelecida. Mas quando tem alguns projetos que são um pouco mais complexos, não é tão linear fazer esse cálculo. E aí eu tenho sim dificuldade de fazer esse acompanhamento» / [entrevistador]: «não consegue ter o dado da linha base» / [participante]: «é isso»","A ausência de linha de base impede o monitoramento do resultado climático do investimento após o desembolso. Liga a lacuna de monitoramento «Muito alta» diretamente ao acesso a financiamento: sem linha de base, o projeto é mais difícil de aprovar e impossível de comprovar depois.",00:20:04,linha de base|monitoramento|indicador|projeto|financiamento,inexistente,convergente,alta
