interview,dim,question,type,excerpt,paraphrase,ts,keywords,maturity,alignment,confidence
ENT-003,1.1.4,PUB1,declaracao,"[participante]: «todo mundo conhece o contrato com a UNILIVRE (…) é um contrato grande, para ser entregue ao longo de um ano e meio. Ele possui três metas e o produto final dele é um projeto estratégico de enfrentamento às mudanças climáticas. A gente que toca esse contrato aqui no [órgão ambiental municipal].»","A estratégia municipal de adaptação está terceirizada em um contrato de consultoria de 18 meses com ICT externa, com três metas e entrega de um «projeto estratégico de enfrentamento às mudanças climáticas». Não existe ainda instrumento próprio de adaptação com metas formalizadas: a condição habilitante depende da entrega do contrato.",00:12:51,adaptação|Plano Municipal de Adaptação|resiliência,em_elaboracao,complementar,alta
ENT-003,1.1.5,PUB2,declaracao,"[participante]: «a gente já tem alguns pré-diagnósticos sobre como Maringá vai ser impactada com possíveis cenários (…) identificar os cenários, fazer um cruzamento com as informações de Maringá, tanto ambiental como socioeconômico, para então nós sabermos as vulnerabilidades de Maringá.»","A avaliação de riscos e vulnerabilidades está em execução, com cruzamento de dados ambientais e socioeconômicos e pré-diagnósticos já produzidos. Metodologia coerente com a dimensão, mas sem resultado consolidado na data da entrevista.",00:12:51,cenário|vulnerabilidade|risco climático,em_elaboracao,convergente,alta
ENT-003,1.1.5,PUB2,declaracao,"[participante]: «o que a gente entende como questões prioritárias são os pontos erosivos de Maringá. E as áreas de alagamento são os focos do projeto de enfrentamento (…) a gente já definiu, já identificou esses problemas, que também não é segredo, isso é amplamente discutido.»","Há identificação prévia e consensual dos dois riscos prioritários (erosão e alagamento), independente do estudo em curso. A evidência sustenta que o conhecimento do risco existe e antecede a formalização metodológica.",00:17:40,erosão|alagamento|mapa de risco|área de risco,em_implementacao,convergente,alta
ENT-003,1.1.7,PUB4,lacuna,"[entrevistador]: «existe já meta, indicador, mecanismo de acompanhamento?» / [participante]: «para as mudanças climáticas é um produto a ser entregue ainda.» / [entrevistador]: «hoje não tem, mas está em construção.» / [participante]: (confirma)","LACUNA CRÍTICA. Não existe hoje meta, indicador ou mecanismo de monitoramento específico para mudança climática. A dimensão tem prioridade «Muito alta» na matriz de Maringá e depende integralmente da entrega do contrato de consultoria.",00:19:17,monitoramento|indicador de adaptação|acompanhamento de metas,inexistente,convergente,alta
ENT-003,1.1.7,PUB4,percepcao,"[participante]: «as metas, indicadores, com relação ao que nós mexemos são aquelas definidas pelos planos, por exemplo, plano de saneamento básico, plano de gestão de resíduos sólidos urbanos (…) essa questão do monitoramento, ele não é 100%. (…) aquilo que se não for feito você está fora da lei, com certeza é muito cobrado de perto (…) mas muitas vezes ter um acompanhamento mais próximo, eu acho que poderia ser melhor.»","Existe monitoramento setorial (saneamento e resíduos), mas movido por obrigação legal e reconhecido como incompleto pelo próprio órgão. Não há ponte declarada entre esses indicadores setoriais e a agenda climática.",00:20:55,meta|indicador|plano de saneamento|plano de resíduos sólidos,monitorado,complementar,media
ENT-003,1.2.1,PUB8,declaracao,"[participante]: «os dados que são de competência do [órgão ambiental municipal], a gente faz a gestão. O que não é de competência, não.» / [entrevistador]: «mas mudança climática está debaixo da asa de vocês?» / [participante]: «agora está, porque é um assunto que virou prioridade e que na verdade está sendo criado esse leque.»","A atribuição sobre a agenda climática foi assumida pelo órgão ambiental de forma recente e informal («agora está»), por elevação política do tema e não por ato normativo citado. Competência sobre dados é fragmentada por matéria.",00:17:40,competência|responsabilidade institucional|gestão de dados,em_implementacao,convergente,media
ENT-003,1.2.2,PUB10,lacuna,"[entrevistador]: «quais seriam as barreiras (…) para ampliar essa capacidade de novos projetos, de conseguir mais dinheiro?» / [participante]: «aumentar o efetivo de servidores qualificados. (…) É o principal para dar vazão à demanda.»","LACUNA PRINCIPAL declarada pelo participante como barreira número um, de forma espontânea e sem hesitação. Capacidade institucional insuficiente é o gargalo que limita simultaneamente preparação de projetos, captação e ampliação de instrumentos existentes.",00:42:14,capacidade institucional|servidores|falta de pessoal|equipe técnica,em_implementacao,convergente,alta
ENT-003,1.2.2,PUB10,lacuna,"[entrevistador]: «vocês têm a possibilidade de implementar coisas novas para melhorar a capacidade de financiamento, mas talvez hoje não teriam capacidade interna de gerir isso (…) faltam servidores?» / [participante]: (confirma) «faltam servidores para melhorar a capacidade de gestão do tema.»","Confirmação independente, em outro momento da entrevista, do mesmo gargalo. A restrição não é de vontade política nem de instrumento jurídico, é de força de trabalho qualificada.",00:33:10,capacidade institucional|falta de pessoal|estrutura,em_implementacao,convergente,alta
ENT-003,1.2.2,PUB6,percepcao,"[participante]: «sim, existem outros projetos, são desafiadores justamente por serem questões novas (…) às vezes para embasar eles é um pouco mais complicado, mas quando se junta tanto o executivo quanto a gente, como servidores, eles saem do papel.»","A viabilização de projetos climáticos depende de convergência entre liderança política e corpo técnico; a dificuldade declarada é de fundamentação técnica de temas novos, não de tramitação.",00:22:24,capacidade institucional|projeto novo|embasamento técnico,em_implementacao,complementar,media
ENT-003,2.1.1,PUB6,declaracao,"[entrevistador]: «qual a fonte de financiamento que vocês estão usando?» / [participante]: «a gente está utilizando a fonte de financiamento de combustível mesmo (…) a descarbonização a gente vai trocar o diesel pelo biodiesel, mas ainda é combustível (…) por ser bem de consumo.»","O único projeto climático próprio é financiado por rubrica ordinária de custeio (combustível / bem de consumo), sem fonte climática dedicada. Evidência direta de ausência de linha orçamentária climática específica.",00:48:05,recurso próprio|tesouro municipal|bem de consumo,em_implementacao,convergente,alta
ENT-003,2.1.6,PUB6,declaracao,"[participante]: «a gente está com um projeto piloto de descarbonização da frota municipal (…) isso é um pedido direto do prefeito, é uma questão nossa, a gente tem um prefeito muito engajado na causa ambiental.»","Existe ação de mitigação em curso, mas originada em determinação individual do Chefe do Executivo e não em estratégia de baixo carbono formalizada. Coerente com a prioridade «Média» atribuída a esta dimensão em Maringá.",00:22:24,descarbonização|frota|baixo carbono|biodiesel,em_implementacao,convergente,alta
ENT-003,2.1.4,PUB6,lacuna,"[entrevistador]: «vocês não têm uma área específica que fica de olho onde tem dinheiro?» / [participante]: «ele sabe a demanda que ele precisa e daí ele sai atrás do recurso.» (…) «aqui a minha diretora já fez inscrição para algum tipo de prêmio para receber um patrocínio (…) isso quando a gente acha alguma coisa, a gente se inscreve e compete.»","LACUNA ESTRUTURAL. Não existe unidade dedicada à estruturação de projetos e captação; a busca de recursos é reativa, personalizada na chefia e oportunista (inscrição em prêmios quando surgem). Dimensão com prioridade «Muito alta» e classificada pelo Produto 2 como ponto crucial da avaliação.",00:40:49,preparação de projeto|carteira de projetos|pipeline|captação,inexistente,convergente,alta
ENT-003,2.1.4,PUB6,declaracao,"[participante]: «aqui a gente faz projeto também, alguns projetos mais projeto arquitetônico, por exemplo para parques (…) algo mais elaborado normalmente vai cair na [secretaria de obras], essa questão de projetos que é mais de obra mesmo, essas obras maiores, e a execução normalmente se licita.»","Capacidade própria de projeto limitada a escopo arquitetônico de baixa complexidade; obras estruturantes de adaptação migram para as secretarias de obras, fragmentando a responsabilidade sobre a maturidade do pipeline.",00:39:33,projeto arquitetônico|projeto executivo|licitação,em_implementacao,complementar,media
