interview,dim,question,type,excerpt,paraphrase,ts,keywords,maturity,alignment,confidence
ENT-020,1.1.5,ACA1,declaracao,"[participante]: «há uma sensação térmica incrementada (…) [depois] as inundações ou interrupções de vias em vários lugares da cidade, nos lugares mais baixos da topografia (…) e o terceiro elemento é a incapacidade do sistema de drenagem atual, [o] dimensionamento das galerias pluviais (…) uma consequência é uma dinâmica aumentada da erosão dos canais naturais de toda a nossa rede de drenagem, tanto na bacia do [Pirapó] quanto na do [Ivaí]»","Encadeamento causal completo, em quatro elos: calor, alagamento em cotas baixas, subdimensionamento das galerias e erosão dos canais receptores nas duas bacias. É a formulação técnica mais completa do corpus e reconcilia as leituras de ENT-008 (erosão) e ENT-010-ENT-011 (microdrenagem): são o mesmo processo em pontos distintos do percurso da água.",00:04:56,sensacao termica|inundacao|galeria pluvial|erosao|bacia|encadeamento,em_implementacao,convergente,alta
ENT-020,1.1.6,ACA2,lacuna,"[participante]: «quando você toma o plano diretor de Maringá, um plano recente, de 2024-2025 (…) ele utiliza os dados climatológicos — precipitação, ventos — de décadas passadas, sem considerar as alterações ou mudanças climáticas. Então o parâmetro alteração ou mudança climática não consta do plano diretor. Isso demonstra que, no sistema de planejamento, em todo o conjunto de normas, esse parâmetro não existe»","ACHADO DEFINITIVO. O plano diretor vigente, aprovado há menos de dois anos, foi calibrado com série climática antiga e não incorpora a variável climática. É a evidência mais forte do corpus sobre desalinhamento do instrumento urbanístico central com a agenda climática — e explica, na origem, a maladaptação documentada em ENT-006, a pressão sobre áreas verdes de ENT-007 e o subdimensionamento da drenagem apontado por todos.",00:06:45,plano diretor|dados climatologicos|parametro|alinhamento|instrumento|lacuna,inexistente,isolada,alta
ENT-020,1.1.4,ACA2,declaracao,"[participante]: «a resposta direta é improvisação (…) exemplo concreto: [numa avenida] temos uma inundação permanente da via. E o secretário colocou uma máquina, fez uma escavação, jogou pedras e disse: o problema está resolvido. [Na] primeira chuva significativa: vou ter que ampliar»","Caracterização da ação climática municipal como improvisação, com caso concreto de intervenção sem dimensionamento e refeita após o primeiro evento. Converge com o «emergencial e não preventivo» de ENT-007 e com a ausência de projeto de ENT-004 — e liga as duas: sem parâmetro no plano, a obra é dimensionada por tentativa.",00:06:45,improvisacao|obra|dimensionamento|drenagem|planejamento,inexistente,convergente,alta
ENT-020,1.2.2,ACA2,lacuna,"[participante]: «caem árvores, você corta, mas não tem reposição. Você não tem um viveiro condizente com a demanda (…) o viveiro não tem tamanho, não tem porte, não tem variedade»",LACUNA MATERIAL. O viveiro municipal não tem escala nem diversidade para atender a reposição. Converge com a proposta de recuperar o horto municipal em ENT-007 e confirma que a falha de reposição relatada em cinco sessões tem uma causa física identificável e barata de corrigir.,00:06:45,viveiro|reposicao|arborizacao|capacidade|insumo,inexistente,convergente,alta
ENT-020,3.1.1,ACA4,declaracao,"[participante]: «nós temos uma base física que é estável, do ponto de vista geológico e de tipo de solo (…) No entanto, quando eu necessito [de dados] de precipitações, ventos, medidas desse tipo, eu não tenho. Nós temos uma estação meteorológica aqui, que é a estação principal da [universidade pública], mas esses dados não são incorporados para fins de planejamento ou tomada de decisões»",ACHADO CRÍTICO. Existe estação meteorológica de referência na universidade local e seus dados não alimentam o planejamento municipal. Converge com ENT-003 (dados meteorológicos primários de duas estações circulando sem instrumento formal) e qualifica a rede de vinte estações em contratação (ENT-015): o município está comprando capacidade de monitoramento sem antes ter incorporado a que já existe na cidade. Dimensão «Muito alta».,00:11:10,estacao meteorologica|universidade|dados|planejamento|integracao|lacuna,inexistente,convergente,alta
ENT-020,3.2.2,ACA4,declaracao,"[participante]: «eu tenho dados genéricos da vegetação: tenho tantas mil árvores, tantos metros quadrados por habitante — número genérico. Mas quando eu digo a rua tal, a via tal, o déficit, quanto mais ou menos, eu não tenho dados. Quando eu digo que tenho 85 km de fundos de vale e pergunto qual é a condição deles, qual é a vegetação predominante — não sei. Então eu não tenho dados para fazer gestão técnica»","DISTINÇÃO DECISIVA. O município tem indicador agregado e não tem dado de gestão. Reformula com precisão a lacuna «Muito alta» de qualidade e acessibilidade dos dados: o problema não é a ausência de número, é a ausência de resolução espacial suficiente para decidir onde intervir — e os 85 km de fundo de vale, o principal ativo ambiental da cidade, estão sem diagnóstico de condição.",00:11:10,dado agregado|resolucao|gestao tecnica|fundo de vale|diagnostico|vegetacao,inexistente,convergente,alta
ENT-020,1.1.7,ACA4,declaracao,"[participante]: «eu participei ativamente da elaboração do plano municipal de gestão de resíduos — talvez 80% dele tem o meu trabalho técnico. Dimensionamos o resíduo, mas depois disso nada mais foi feito. Estamos falando de 15 anos atrás (…) você não tem uma equipe de campo, de coleta, de análise»","SEGUNDO CASO DE PLANO NÃO IMPLEMENTADO, COM SÉRIE DE QUINZE ANOS. Junto ao plano de manejo da arborização de ENT-019 e ao plano de manejo do parque citado adiante, compõe o padrão que ENT-007 chama de «plano de gaveta»: Maringá produz instrumento técnico de qualidade e não o executa nem o monitora. O risco para o plano climático em elaboração é explícito.",00:11:10,plano de residuos|implementacao|plano de gaveta|monitoramento|equipe de campo,inexistente,convergente,alta
ENT-020,3.2.3,ACA3,declaracao,"[participante]: «temos áreas de fundos de vale altamente significativas, são corredores de biodiversidade — foram caracterizados como tal, inclusive [pela atual liderança do Executivo], em 2011. Só que eles não foram dimensionados na sua relação com a mudança climática. É por lá que se lançam todas as águas das chuvas que vêm da área central (…) é lá que está todo o nosso bioma ativo da Mata Atlântica, todo o nosso banco genético histórico»","ACHADO ESTRUTURANTE. Os fundos de vale acumulam quatro funções — drenagem, biodiversidade, banco genético e regulação térmica — e nunca foram dimensionados na sua relação com o clima. É o objeto que concentra o maior número de funções climáticas da cidade e o que tem menos dado, e a caracterização como corredor de biodiversidade já existe desde 2011. Dimensão «Muito alta».",00:13:50,fundo de vale|corredor de biodiversidade|Mata Atlantica|banco genetico|drenagem|dimensionamento,inexistente,isolada,alta
ENT-020,2.1.5,ACA3,oportunidade,"[participante]: «o dimensionamento do potencial bioclimático dessas áreas de fundos de vale, que são todas áreas públicas — então não precisa desapropriar, é bem comum de uso do povo»","PRIORIDADE DE INVESTIMENTO COM VANTAGEM DECISIVA. O principal ativo climático da cidade já é domínio público: não há custo de desapropriação nem litígio fundiário. Converge com ENT-015, ENT-016, ENT-017-ENT-018 e ENT-019 — seis sessões apontam o fundo de vale como prioridade, e esta acrescenta a razão que o torna o investimento mais viável do conjunto.",00:16:53,fundo de vale|area publica|desapropriacao|potencial bioclimatico|investimento|viabilidade,inexistente,convergente,alta
ENT-020,3.2.3,ACA5,declaracao,"[participante]: «um [estudo] é a medição de temperaturas entre a área de asfalto e a área de sombra de árvores de grande porte na área central (…) tomamos um termômetro laser e medimos a temperatura refletida do asfalto: dá 70º, ou seja, uma pessoa quando caminha recebe 70º no seu rosto. Agora, se você caminha para a sombra a 15 m de distância desse ponto, você tem [muito menos] graus na calçada»","DADO LOCAL DE MICROESCALA, PUBLICADO. Diferença térmica radiante drástica entre pavimento exposto e sombra arbórea, medida a quinze metros de distância na área central. Terceiro estudo local de ilha de calor identificado no corpus (com ENT-006 e ENT-009) — e o que melhor sustenta o argumento econômico da arborização como infraestrutura de saúde pública.",00:18:34,ilha de calor|temperatura radiante|asfalto|sombra|arborizacao|estudo local,em_implementacao,convergente,alta
